"data","serie","codigo","valor"
2025-12-01,"depositos_vista",27790,340569915
2026-01-01,"depositos_vista",27790,303074741
2026-02-01,"depositos_vista",27790,309612995
2026-03-01,"depositos_vista",27790,311597089
2026-04-01,"depositos_vista",27790,311545957
2026-05-01,"depositos_vista",27790,320320044
2026-06-01,"depositos_vista",27790,327319243
2026-07-01,"depositos_vista",27790,309698393
2010-01-01,"M1",27791,231954830
2010-02-01,"M1",27791,229539682
2010-03-01,"M1",27791,234321660
2010-04-01,"M1",27791,233688103
2010-05-01,"M1",27791,236231009
2010-06-01,"M1",27791,240063569
2010-07-01,"M1",27791,241185103
2010-08-01,"M1",27791,248096060
2010-09-01,"M1",27791,254630048
2010-10-01,"M1",27791,255602306
2010-11-01,"M1",27791,265053833
