"trimestre","componente","valor_milhoes"
"202301","Valor adicionado a preços básicos",2260703
"202302","Valor adicionado a preços básicos",2390208
"202303","Valor adicionado a preços básicos",2406436
"202304","Valor adicionado a preços básicos",2501246
"202401","Valor adicionado a preços básicos",2382240
"202402","Valor adicionado a preços básicos",2530859
"202403","Valor adicionado a preços básicos",2582056
"202404","Valor adicionado a preços básicos",2618948
"202501","Valor adicionado a preços básicos",2599557
"202502","Valor adicionado a preços básicos",2771717
"202503","Valor adicionado a preços básicos",2786359
"202504","Valor adicionado a preços básicos",2794349
"202601","Valor adicionado a preços básicos",2789809
"202602","Valor adicionado a preços básicos",2937869
"201901","Impostos líquidos sobre produtos",250823
"201902","Impostos líquidos sobre produtos",249926
"201903","Impostos líquidos sobre produtos",258350
"201904","Impostos líquidos sobre produtos",273348
"202001","Impostos líquidos sobre produtos",261453
"202002","Impostos líquidos sobre produtos",174908
"202003","Impostos líquidos sobre produtos",268286
"202004","Impostos líquidos sobre produtos",310013
"202101","Impostos líquidos sobre produtos",301477
"202102","Impostos líquidos sobre produtos",297586
"202103","Impostos líquidos sobre produtos",339513
"202104","Impostos líquidos sobre produtos",359567
"202201","Impostos líquidos sobre produtos",336346
"202202","Impostos líquidos sobre produtos",332005
"202203","Impostos líquidos sobre produtos",341662
"202204","Impostos líquidos sobre produtos",333188
"202301","Impostos líquidos sobre produtos",320315
"202302","Impostos líquidos sobre produtos",337372
"202303","Impostos líquidos sobre produtos",363010
"202304","Impostos líquidos sobre produtos",364055
"202401","Impostos líquidos sobre produtos",382593
"202402","Impostos líquidos sobre produtos",403900
"202403","Impostos líquidos sobre produtos",433880
"202404","Impostos líquidos sobre produtos",444775
"202501","Impostos líquidos sobre produtos",425166
"202502","Impostos líquidos sobre produtos",428628
"202503","Impostos líquidos sobre produtos",449349
"202504","Impostos líquidos sobre produtos",483441
"202601","Impostos líquidos sobre produtos",461170
"202602","Impostos líquidos sobre produtos",487859
"201901","PIB a preços de mercado",1757554
"201902","PIB a preços de mercado",1826761
"201903","PIB a preços de mercado",1880610
"201904","PIB a preços de mercado",1924206
"202001","PIB a preços de mercado",1868095
"202002","PIB a preços de mercado",1752724
"202003","PIB a preços de mercado",1929323
"202004","PIB a preços de mercado",2059455
"202101","PIB a preços de mercado",2156670
"202102","PIB a preços de mercado",2203639
"202103","PIB a preços de mercado",2295851
"202104","PIB a preços de mercado",2355982
"202201","PIB a preços de mercado",2319528
"202202","PIB a preços de mercado",2517481
"202203","PIB a preços de mercado",2601182
"202204","PIB a preços de mercado",2641485
"202301","PIB a preços de mercado",2581018
"202302","PIB a preços de mercado",2727580
"202303","PIB a preços de mercado",2769445
"202304","PIB a preços de mercado",2865301
"202401","PIB a preços de mercado",2764833
"202402","PIB a preços de mercado",2934759
"202403","PIB a preços de mercado",3015936
"202404","PIB a preços de mercado",3063723
"202501","PIB a preços de mercado",3024723
"202502","PIB a preços de mercado",3200345
"202503","PIB a preços de mercado",3235708
"202504","PIB a preços de mercado",3277790
"202601","PIB a preços de mercado",3250979
"202602","PIB a preços de mercado",3425728
"201901","Despesa de consumo das famílias",1155353
"201902","Despesa de consumo das famílias",1172601
"201903","Despesa de consumo das famílias",1216014
"201904","Despesa de consumo das famílias",1269611
"202001","Despesa de consumo das famílias",1211460
"202002","Despesa de consumo das famílias",1066604
"202003","Despesa de consumo das famílias",1200311
"202004","Despesa de consumo das famílias",1326629
"202101","Despesa de consumo das famílias",1287344
"202102","Despesa de consumo das famílias",1306327
"202103","Despesa de consumo das famílias",1413002
"202104","Despesa de consumo das famílias",1523898
"202201","Despesa de consumo das famílias",1475027
"202202","Despesa de consumo das famílias",1563936
"202203","Despesa de consumo das famílias",1626419
"202204","Despesa de consumo das famílias",1691277
"202301","Despesa de consumo das famílias",1635673
"202302","Despesa de consumo das famílias",1686827
"202303","Despesa de consumo das famílias",1748852
"202304","Despesa de consumo das famílias",1814674
"202401","Despesa de consumo das famílias",1784961
"202402","Despesa de consumo das famílias",1834839
"202403","Despesa de consumo das famílias",1932140
"202404","Despesa de consumo das famílias",1981637
"202501","Despesa de consumo das famílias",1934192
"202502","Despesa de consumo das famílias",1992000
"202503","Despesa de consumo das famílias",2050092
"202504","Despesa de consumo das famílias",2105049
"202601","Despesa de consumo das famílias",2054680
"202602","Despesa de consumo das famílias",2112893
"201901","Despesa de consumo da administração pública",332854
"201902","Despesa de consumo da administração pública",367453
"201903","Despesa de consumo da administração pública",357184
"201904","Despesa de consumo da administração pública",419122
"202001","Despesa de consumo da administração pública",344792
"202002","Despesa de consumo da administração pública",381981
"202003","Despesa de consumo da administração pública",366836
"202004","Despesa de consumo da administração pública",438596
"202101","Despesa de consumo da administração pública",359922
"202102","Despesa de consumo da administração pública",411468
